tittle,text,domain,topic
"Sài Gòn mưa như trút nước, cây đổ đè người tử vong"," Áp thấp nhiệt đới sau bão Usagi khiến Nam Bộ mưa lớn
 Ngập Huỳnh Tấn Phát Biển nước trên đường Huỳnh Tấn Phát, quận 7. 
 Chiều 25/11, các quận trung tâm 1, 3, 4, 10 mưa mịt mù kèm giông lốc. Tuy nhiên, lượng mưa lớn hơn tập trung ở quận 2, 7, 9, huyện Nhà Bè...
 Mưa to kéo dài nhiều giờ khiến hàng loạt tuyến đường ngập sâu, có nơi ngập hơn 0,5 m khiến hàng trăm xe chết máy, phải dắt bì bõm",vnexpress.net,Thời sự 
Khách nam đánh nữ nhân viên ở sân bay Nội Bài," Khách nam đánh nữ nhân viên ở sân bay Nội Bài
 Ngày 24/11, trung tá Lê Như Anh, Trưởng Công an huyện Thọ Xuân (Thanh Hóa) cho biết, đơn vị đang thụ lý vụ việc nhóm thanh niên hành hung nhân viên sân bay, gây rối khiến Cảng hàng không Thọ Xuân náo loạn.",vnexpress.net,An ninh 
Nữ sinh lớp 5 trả lại iPhone X cùng tiền cho người đánh rơi," Sáng 27/11, em Nguyễn Hoàng Ngọc Trâm (lớp 5, trường Tiểu học Phước Tiến, TP Nha Trang, Khánh Hòa) đến lớp thì thấy túi xách da màu đen tại sân trường, cạnh bồn hoa.
 Nữ sinh nhờ cảnh sát tìm người đánh rơi tài sản để trả lại.",vnexpress.net,Đời sống 
Cô giáo ở Quảng Bình bắt trò tát bạn học 230 cái," Sáng 24/11, ông Phạm Minh Cảnh, Chủ tịch xã Duy Ninh (Quảng Ninh, Quảng Bình) cho hay, đã nhận được tường trình của giáo viên Nguyễn Thị Phương Thủy, trường THCS Duy Ninh, về việc phạt học trò 230 cái tát.",vnexpress.net,Giáo dục 
Hà Nội có thêm ba xe buýt mui trần 20 tỷ đồng," Buýt hai tầng ở Hà Nội trung bình có bảy khách mỗi lượt / Hành khách trải nghiệm tuyến buýt mui trần đầu tiên ở Hà Nội
 Xe buýt hai tầng thoáng nóc được sơn màu vàng, xanh. ",vnexpress.net,Đời sống 
"Hơn 55 tỷ đồng nâng cấp 8,5 km đại lộ Võ Văn Kiệt ở TP HCM"," Dự án sửa chữa, nâng cao độ mặt đường Võ Văn Kiệt (từ cầu Lò Gốm đến giao lộ Ký Con với chiều dài gần 8,5 km, đi qua các quận 1, 5 và 6) đang được Trung tâm Quản lý đường hầm sông Sài Gòn triển khai. Dự án có tổng mức đầu tư gần 56,5 tỷ đồng, với thời gian thi công là 240 ngày.
 Theo đại diện trung tâm, mục tiêu của dự án nhằm đảm bảo an toàn giao thông, giảm ngập, tăng mỹ quan đô thị trục đường Võ Văn Kiệt, đồng thời khắc phục hiện tượng xuống cấp mặt đường, tăng khả năng thông hành và tuổi thọ công trình.",vnexpress.net,Đời sống 
Nhiều máy bay không thể đáp xuống Tân Sơn Nhất," Sài Gòn mưa như trút nước, cây đổ đè người tử vong
 Chiều tối 25/11, hoàn lưu bão Usagi gây mưa lớn trên toàn địa bàn TP HCM và các tỉnh Nam Bộ, nhiều nơi trên 200 mm. Hàng loạt chuyến bay của hãng Vietnam Airlines, Vietjet Air, Jetstar Pacific khởi hành từ sân bay Tân Sơn Nhất thông báo trễ giờ vì thời tiết xấu.",vnexpress.net,Thời sự 
Đường Sài Gòn kẹt từ sáng đến trưa," Đường Quốc Lộ 13 (quận Bình Thạnh) hướng vào Bến xe miền Đông đến trưa nay nước vẫn còn ngập sâu, nhiều tuyến đường còn rối loạn.
 Sau bốn ngày hình thành trên Biển Đông, trưa 25/11, bão Usagi đổ bộ vào Vũng Tàu và các tỉnh lân cận, gây mưa rất to và nhiều sự cố. Riêng tại TP HCM, trận mưa ""khủng khiếp"" biến nhiều nơi thành biển nước, cây ngã đè một người chết.",vnexpress.net,Đời sống 
Nhiều máy bay không thể đáp xuống Tân Sơn Nhất," Các cổ động viên có mặt tại phố đi bộ Nguyễn Huệ từ khá sớm để theo dõi trận đấu giữa tuyển Philippines và Việt Nam
 Trận bán kết lượt đi hôm nay là nơi Philippines và Việt Nam thể hiện khả năng và tham vọng chinh phục AFF Cup 2018. Nhiều khán giả đã phải vượt quãng đường xa đến SVĐ Panaad (Philippines) để cổ vũ cho tuyển Việt Nam. Nhiều khán giả khác đã chọn phố đi bộ Nguyễn Huệ làm nơi để truyền lửa cho thầy trò HLV Park Hang Seo.",thethao.tuoitre.vn,Đời sống 
Đường chạy của người phụ nữ cụt chân," TTO - Năm 19 tuổi, Alma Faz trải qua phẫu thuật cắt bỏ chân phải vì bệnh ung thư. Lúc đó, chưa bao giờ cô dám nghĩ mình lại có thể chạy được nữa. Thế nhưng giờ đây cô đang tập luyện cho cuộc thi ba môn phối hợp: bơi - đạp xe - chạy.
 ",tuoitre.vn,Đời sống 
Máy bay Vietjet gặp sự cố ở Buôn Ma Thuột mới chỉ bay 8 chặng," TTO - Chuyến bay số hiệu VJ356 được Vietjet Air khai thác bằng máy bay VN-A653 của Airbus mới tiếp nhận 2 tuần trước và mới khai thác 8 chặng bay trong ngày 29-11 thì gặp sự cố ở Buôn Ma Thuột.
 ",tuoitre.vn,Đời sống 
Người đàn ông chết khô ở máy dập có thể do đột quỵ," TTO - Qua điều tra ban đầu, cơ quan chức năng cho biết người đàn ông được phát hiện chết khô tại máy dập kim loại ở quận Thủ Đức, TP.HCM bị nghiện rượu và nhiều khả năng tử vong bị đột quỵ.
 ",tuoitre.vn,Đời sống 
"Bị cảnh báo giả, khách trên máy bay TP.HCM đi Hà Nội hoảng sợ","
 TTO - Chuyến bay VJ198 của Hãng Vietjet Air tối 19-11 khiến hàng trăm hành khách đã hoảng hốt khi bay vòng hơn 30 phút và quay đầu hạ cánh khẩn cấp xuống sân bay Tân Sơn Nhất, trong khi lịch trình bay đến Hà Nội.
 ",tuoitre.vn,Đời sống 
An Giang cấm sử dụng âm thanh dụ chim yến trong đêm," Theo đó, các vùng không được phép xây dựng mới nhà nuôi chim yến gồm một số phường, xã thuộc TP.Châu Đốc, TP.Long Xuyên, TX.Tân Châu…",thanhnien.vn,Đời sống 
Băng trộm SH đâm chết các 'hiệp sĩ': Tấm lòng người cha hiệp sĩ,"Ông là Nguyễn Hiếu Hoàng, cha của “hiệp sĩ đường phố” Nguyễn Hoàng Nam - người đã hy sinh khi truy bắt nhóm trộm xe SH trên đường Cách Mạng Tháng 8 (TP.HCM) vào tháng 5.2018.
 Mới đây, ngày 29.11, TAND TP.HCM đưa vụ án ra xét xử sơ thẩm. HĐXX tuyên phạt bị cáo Nguyễn Tấn Tài (tức Tài “mụn”, ngụ Q.12, TP.HCM) mức án tử hình về tội “giết người”, “cướp tài sản” và “cố ý gây thương tích”; Nguyễn Hoàng Châu Phú (ngụ H.Hóc Môn, TP.HCM) mức án chung thân về cùng tội danh trên; bị cáo Ngô Văn Hùng (32 tuổi) 4 năm tù và Trịnh Thị Như (27 tuổi, cùng ngụ Q.Gò Vấp, TP.HCM) 1 năm tù nhưng cho hưởng án treo về cùng tội ""che giấu tội phạm"".",thanhnien.vn,Đời sống 
Chiếc lốp thứ hai của máy bay Vietjet được tìm thấy," Máy bay Vietjet Air gặp sự cố khi hạ cánh ở Buôn Ma Thuột
 Theo đại diện Cục Hàng không, sáng 2/12, bánh máy bay thứ hai bị văng ra sau sự cố hạ cánh của Vietjet đã được tìm thấy. Do khu vực gần sân bay cỏ mọc cao, công tác tìm kiếm bị kéo dài.
 ",vnexpress.net,Thời sự 
Sắp có tuyến buýt '5 sao' từ Tân Sơn Nhất đi Vũng Tàu," TP HCM muốn có tuyến buýt từ Tân Sơn Nhất đi các tỉnh
 UBND TP HCM vừa giao Sở Giao thông vận tải thành phố chịu trách nhiệm triển khai tuyến xe buýt không trợ giá từ sân bay Tân Sơn Nhất đi tỉnh Bà Rịa - Vũng Tàu và ngược lại.
 Tuyến dài 105 km, điểm đầu là sân bay, điểm cuối là bến xe Bà Rịa - Vũng Tàu. Thời gian hoạt động từ 0h đến 23h30 - phù hợp lịch bay tại Tân Sơn Nhất.",vnexpress.net,Giao thông 
Hành khách thoát khỏi chiếc máy bay bị rơi bánh như thế nào,"Cục Hàng không lập tổ điều tra máy bay Vietjet rơi bánh / Máy bay Vietjet Air gặp sự cố khi hạ cánh ở Buôn Ma Thuột
 Đến sáng 30/11, sau nhiều giờ ở sân bay Buôn Ma Thuột, vợ chồng bà Nga cùng nhiều hành khách khác trên máy bay VJ356 mới lấy được hành lý để về nhà. Chồng bà bị trầy xước ở tay, do ngã khi trượt từ cửa thoát hiểm xuống đường băng.",vnexpress.net,Thời sự 
Dòng người xếp hàng chờ lấy vé mua online trận Việt Nam," VFF đã bán hết vé trận Việt Nam - Philippines qua đường online
 Ngày 30/11, tại trụ sở Liên đoàn bóng đá Việt Nam (VFF) trên đường Lê Quang Đạo, Bắc Từ Liêm (Hà Nội), đơn vị này bắt đầu trả vé cho khách hàng đã đặt vé online trận bán kết lượt về Việt Nam-Philipines.",vnexpress.net,Thời sự 
Thu bằng lái 2 phi công VietJet sau sự cố máy bay văng bánh,"  Tổ bay gồm cơ trưởng người Philippines và cơ phó người Tây Ban Nha bị thu bằng lái sau khi để xảy ra sự cố máy bay văng bánh tại Buôn Ma Thuột.
 Sự cố nghiêm trọng của máy bay VietJet diễn ra thế nào? Máy bay mang số hiệu VJ356 của VietJet gặp sự cố lúc hạ cánh đêm 29/11 tại sân bay Buôn Ma Thuột khiến hàng trăm khách phải sơ tán bằng cửa thoát hiểm, phao trượt.",news.zing.vn,Giao thông 
Đeo nhẫn... lưng chừng tay," Kiểu đeo đeo nhẫn giữa ngón tay được nữ sinh đặc biệt yêu thích - Ảnh: Thanh Nam
 “Cách đeo nhẫn giữa ngón tay là mốt hiện nay, được cách tân mới lạ”, Ngọc Trâm, sinh viên Trường ĐH Kinh tế - Tài chính TP.HCM giơ ngón tay đeo nhẫn vui vẻ nói.",thanhnien.vn,Đời sống 
Sinh viên Sài Gòn ùn ùn đăng ký thi TOEIC từ rạng sáng," Trước thông báo về việc cập nhật cấu trúc bài thi TOEIC tại Việt Nam từ 15/2/2019, rất nhiều sinh viên ở Sài Gòn đã rủ nhau đăng ký thi chứng chỉ này. Cao điểm vào cuối tuần qua, hàng trăm người chen nhau xếp hàng trước chi nhánh của tổ chức giáo dục IIG Việt Nam tại quận 3 (TP HCM) từ 4h sáng để chờ đăng ký.",vnexpress.net,Giáo dục 
9X Việt được công ty đắt giá nhất thế giới mời thực tập," Phạm Gia Phong là cựu học sinh trường THPT chuyên Đại học Sư phạm Hà Nội. Năm 2016, em giành học bổng du học ngành Khoa học máy tính của Đại học Minnesota (University of Minnesota) tại Mỹ.
 Đầu tháng 11 vừa qua, em nhận tin vui khi ba công ty Google, Microsoft và Facebook thông báo vượt qua phỏng vấn và mời em vào vị trí thực tập viên kỹ sư phần mềm. ""Em đã rất vui, gọi điện báo tin ngay với gia đình và bạn bè. Đây là mục tiêu em đã đặt ra từ những ngày đầu đặt chân tới Mỹ"", Gia Phong nói.",vnexpress.net,Giáo dục
Nam sinh quay lén bạn nữ tắm ở Đà Nẵng bị đuổi học," Nam sinh đại học 'thú tội' quay lén video bạn nữ tắm
 Sáng 4/12, Trường Đại học Ngoại ngữ (Đại học Đà Nẵng) đã ký quyết định buộc thôi học nam sinh năm nhất vì hành vi quay lén nhiều nữ sinh đang tắm, trong kỳ học giáo dục quốc phòng.
 Ông Nguyễn Thái Trung - Trưởng Phòng công tác sinh viên, cho biết cơ quan công an đã mời nam sinh bị tố giác lên làm việc và người này khai nhận hành vi nhiều lần quay lén nữ sinh đang tắm.
 Hai nam sinh ""thú tội"" quay video bạn nữ tắm. Ảnh: Cắt từ clip.",vnexpress.net,Đời sống 
Nhân viên an ninh sân bay Thọ Xuân bị phạt vì 'phản ứng chậm'," Nhân viên an ninh hàng không Thọ Xuân bị xem xét trách nhiệm
 Chiều 4/12, Cảng vụ Hàng không miền Bắc đã ra quyết định xử phạt hành chính bốn nhân viên an ninh sân bay Thọ Xuân (tỉnh Thanh Hóa) do không làm đúng quy định tại sân bay.",vnexpress.net,An ninh 
"Nghi phạm bắn chết Phó chủ tịch HĐND phường trộm 2 khẩu súng, 16 viên đạn"," Phó chủ tịch HĐND phường bị bắn chết có thể do 'mâu thuẫn tình cảm' / Phó chủ tịch HĐND phường ở Gia Lai bị bắn chết tại trụ sở
 Ngày 4/12, Bộ chỉ huy quân sự tỉnh Gia Lai tiếp tục khám nghiệm trụ sở UBND phường Đoàn Kết (thị xã Ayun Pa) để điều tra vụ án Phó ban chỉ huy quân sự phường bắn chết chị Kpă H'Ven (31 tuổi, Phó chủ tịch HĐND phường).",vnexpress.net,An ninh 
Phó chủ tịch HĐND phường ở Gia Lai bị bắn chết tại trụ sở," Cảnh sát phong tỏa các tuyến đường xung quanh trụ sở UBND phường Đoàn Kết. Ảnh: Nhật Hạ.
 Theo thông tin ban đầu, sáng 3/12, lễ chào cờ đầu tuần của UBND phường Đoàn Kết (thị xã Ayun Pa, Gia Lai) diễn ra ở hội trường. Ông Bùi Hiếu - Phó ban chỉ huy quân sự phường Đoàn Kết - bất ngờ vác súng đến hô lớn, yêu cầu mọi người đứng yên rồi liên tục nổ súng chỉ thiên khiến mọi người bỏ chạy tán loạn.",vnexpress.net,Chính trị 
Bạo loạn khiến Paris thiệt hại ít nhất 3 triệu USD,"Khải Hoàn Môn tan hoang sau cuộc bạo loạn lớn nhất 5 thập kỷ ở Paris / Biểu tình lớn nhất thập kỷ ở Paris, hàng trăm người bị bắt
 Cảnh sát Pháp phun vòi rồng vào người biểu tình mặc áo vàng trước Khải Hoàn Môn. Ảnh: Stephane Mahe.",vnexpress.net,Đời sống 
Khải Hoàn Môn tan hoang sau cuộc bạo loạn lớn nhất 5 thập kỷ ở Paris," Bạo loạn bùng phát ở thủ đô Paris của Pháp hôm 1/12, khi hàng nghìn người biểu tình mặc áo khoác vàng đụng độ với cảnh sát chống bạo động. Đây là cuộc biểu tình lớn nhất 50 năm qua tại Paris, khi người dân Pháp phản đối chính sách tăng thuế xăng dầu của chính quyền Tổng thống Emmanuel Macron.",vnexpress.net,Đời sống 
"Hà Nội, Sài Gòn cờ rợp đường mừng chiến thắng của tuyển Việt Nam"," 23h00
 Khu trung tâm TP HCM giao thông hỗn loạn, người dân vẫn hô vang ""Việt Nam chiến thắng"", hò hét, phất cờ... Tại đường Trần Hưng Đạo, dòng người ở hai luồng giao thông chồm qua dải phân cách bắt tay nhau, cười tươi cùng chúc mừng chiến thắng của đội tuyển.",vnexpress.net,Đời sống 
Hai tài xế đánh nhau vì giành đường tại 'nút cổ chai' Hà Nội," Ôtô 'chôn chân' vì bị chặn đầu bởi trăm xe máy đi ngược chiều ở Sài Gòn
 Video ghi cảnh hai ôtô giành đường nhau trên phố Nguyễn Hữu Thọ (quận Hoàng Mai, Hà Nội) chiều 1/12. Ôtô Nissan vượt trái, đi sát chiếc Chevrolet. Hai tài xế ngồi trong xe, hạ kính cãi nhau. Khi chiếc Nissan vượt qua, người đàn ông lái chiếc Chevrolet chạy bộ đuổi theo để trách mắng. Tài xế Nissan sau đó xuống xe, cầm đèn pin đánh trả.
 ",vnexpress.net,An ninh 
Ôtô 'chôn chân' vì bị chặn đầu bởi trăm xe máy đi ngược chiều ở Sài Gòn," Tài xế ôtô bất lực vì bị chặn đầu bởi trăm xe máy đi ngược chiều
 Tài xế ôtô bất lực trước đám đông chạy xe máy ngược chiều trong giờ cao điểm. Họ ngang nhiên tràn sang làn đối diện, biến con đường thành một chiều rồi tất cả phải đứng chồn chân. Tài xế ôtô bị mắc kẹt tại đây hơn 30 phút. Vụ việc xảy ra 19h30 ngày 30/11 trên đường Ung Văn Khiêm, quận Bình Thạnh, TP HCM.",vnexpress.net,Giao thông 
"Phụ huynh tố cáo trường cho trẻ ăn rau thối, tôm ươn"," 7h50 ngày 3/12, chị Nguyễn Thị Nga đưa con 3 tuổi đến điểm trường Tiên Lý, trường Mầm non xã Đồn Xá (Bình Lục, Hà Nam). Đi ngang qua bếp của trường, thấy có mùi lạ, chị vào xem thì thấy hai chiếc bắp cải vừa sâu, vừa thối, rổ tôm đã ươn và chiếc chân giò lợn còn đầy lông, dính phân ở móng.",vnexpress.net,Giáo dục
Nhiều trường ở TP HCM thu sai quỹ hội phụ huynh," Chiều 31/10, sau buổi giám sát về các khoản đóng góp theo quy định và quỹ do Ban đại diện cha mẹ học sinh (thường được gọi là hội phụ huynh) tại trường THPT Nguyễn Hiền, bà Triệu Lệ Khánh (Phó chủ tịch Ủy ban Mặt trận Tổ quốc Việt Nam TP HCM) cho biết, qua khảo sát và làm việc với 8 trường, đoàn chưa phát hiện sai phạm nghiêm trọng trong thu chi, quản lý tài chính và quỹ hội phụ huynh.",vnexpress.net,Giáo dục
Chủ đầu tư nói gì về chuyện BOT An Sương - An Lạc 'thu phí quá hạn' ?," Vụ BOT An Sương - An Lạc “thu phí quá hạn”: Chủ đầu tư nói tài xế hiểu lầm! Ngày 4.12, ông Nguyễn Hồng Ninh, Giám đốc Công ty Cổ phần Đầu tư phát triển hạ tầng IDICO (IDICO, đơn vị chủ đầu tư), cho biết đã gởi văn bản báo cáo đến UBND TP.HCM về sự cố xảy ra tại Trạm thu phí BOT An Sương - An Lạc (QL 1, Q.Bình Tân, TP.HCM).",thanhnien.vn,Giao thông 
Cầu vượt biển dài nhất Việt Nam bị rải đinh dày đặc," Cầu vượt biển Hải Phòng bị rải đinh suốt 5 km
 Chưa đầy 20 m có đến gần 30 cây đinh dài 5-7 cm nằm trên mặt cầu. Ảnh: Giang Chinh",vnexpress.net,Giao thông 
Trung Quốc giảm nhập bưởi và sầu riêng Việt," Thương lái Trung Quốc ngưng mua, sầu riêng trái vụ miền Tây rớt giá / Bưởi da xanh giá rẻ chất đống bán vỉa hè Sài Gòn
 Theo Cục Chế biến và Phát triển thị trường Nông sản (Bộ Nông nghiệp và Phát triển Nông thôn), xuất khẩu rau quả năm 2018 vào thị trường Trung Quốc gặp nhiều khó khăn, ước đạt 2,41 tỷ USD. Mức này theo cơ quan quản lý chỉ tăng khoảng 11%, thấp hơn nhiều so với mức tăng trưởng 42,4% của năm 2017.",kinhdoanh.vnexpress.net,Kinh tế 
Ba du khách tử vong ở Đà Nẵng trúng chất độc ảnh hưởng tim mạch," Giám định thuốc diệt côn trùng tại khách sạn có ba người chết
 Ngày 4/12, ông Mai Xuân Ngọc - Giám đốc Trung tâm pháp y Đà Nẵng, cho biết đã nhận được các kết quả xét nghiệm liên quan đến ba người tử vong từ Viện pháp y Quốc gia.
 ""Hội đồng chuyên môn của Viện nghiêng về nhận định ban đầu là các nạn nhân trúng chất độc ảnh hưởng đến tế bào và hệ tim mạch, dẫn đến tình trạng suy hô hấp, truỵ tim mạch và tử vong"", ông Ngọc nói.",vnexpress.net,Y tế 
"Ôtô ở Sài Gòn cuốn hàng loạt người, xe máy vào gầm"," Hiện trường tai nạn. Ảnh: Quế Biên.
 Tối 5/12, nam tài xế lái ôtô 7 chỗ trên đường Phan Văn Hớn, hướng từ quận 12 đi huyện Hóc Môn, TP HCM. Đến gần chợ Bà Điểm (huyện Hóc Môn), ôtô tông người phụ nữ chạy xe máy phía trước khiến nạn nhân văng xuống đường.",vnexpress.net,Giao thông 
Xã hội đen' Hải Phòng xây hàng trăm nhà trái phép trên đất quốc phòng," Những ngôi nhà trái phép vẫn đang được xây dựng tại khu A mảnh đất 14,2 ha. Ảnh: Giang Chinh
 Ngày 17/10, thượng tướng Lê Chiêm, Thứ trưởng Quốc phòng ký biên bản bàn giao khu đất rộng 14,2 ha tại phường Thành Tô và Tràng Cát (quận Hải An) cho UBND TP Hải Phòng quản lý, sử dụng. Khu đất này trước đây do Tổng công ty 319 quản lý, nhưng nay không còn sử dụng vào mục đích quốc phòng.",vnexpress.net,An ninh 
Nữ tiếp viên gốc Hoa bị chụp trộm gây sốt mạng xã hội,"
 Ngày 13/10, một nam hành khách đến từ Hong Kong chia sẻ hình ảnh của nữ tiếp viên khiến anh ấn tượng trên một chuyến bay. Bài đăng thu hút tới gần 4.000 lượt chia sẻ, hơn 2.100 lượt thích và khoảng 600 bình luận.",dulich.vnexpress.net,Đời sống 
Xã hội đen Đài Loan mở tiệm mỳ miễn phí cho người nghèo,"
 Xã hội đen Italy dụ người nghèo hủy hoại chân tay để lấy tiền bảo hiểm / Không có tội phạm, cảnh sát Nhật điều tra cả vụ mất quần đùi
 Ông Yen và mẹ tại tiệm mỳ của gia đình. Ảnh: AFP
 Gia đình ông Yen sở hữu một tiệm mỳ tại khu chợ truyền thống nhộn nhịp ở Tân Đài Bắc mấy chục năm nay. Người đàn ông 40 tuổi và mẹ phục vụ những tô mỳ miễn phí cho các khách hàng không đủ tiền ăn.",vnexpress.net,Đời sống 
Khởi tố ông Nguyễn Hoài Nam - bí thư Quận ủy Quận 2," TTO - Sáng nay 8-12, Cơ quan cảnh sát điều tra Bộ Công an đã ra quyết định khởi tố ông Nguyễn Hoài Nam, bí thư Quận ủy Quận 2, TP.HCM, áp dụng lệnh cấm đi khỏi nơi cư trú.
 ",tuoitre.vn,An ninh 
