tittle,text,domain,topic
"Bà cụ 92 vẫn mang thai, tá hỏa đưa đi khám mới phát hiện sự thật động trời sau 50 năm","Ai cũng phải kinh ngạc khi biết nguyên nhân bà cụ 92 tuổi vẫn có thể mang thai. Thực tế, hiếm có cụ bà nào ở ngưỡng tuổi gần đất xa trời lại có thể mang thai. Ấy vậy mà trường hợp một cụ bà dù đã 92 tuổi vẫn có kết quả siêu âm mang thai khiến bác sĩ cũng phải kinh ngạc.",thoibao.today,Y tế 
Phát hiện sự thật động trời sau việc chồng “không.. được”,"Tôi rất yêu chồng mình nhưng 3 năm lấy nhau chúng tôi vẫn chưa có con vì chồng tôi rất yếu. Mẹ chồng và các chị chồng thường xuyên lườm nguýt tôi vì cho rằng tôi là “gà mái không biết đẻ trứng”. Tôi không muốn chồng buồn nên vẫn cắn răng chịu đựng. Đến một ngày, sự thật khiến tôi sốc nặng.",thoibao.today,Đời sống 
VIDEO: Xót xa nhìn cảnh cụ bà 87 tuổi co ro trong tấm chiếu cũ giữa mùa đông rét buốt,"Không chồng con, mấy chục năm qua bà Nguyễn Thị Đỡ (87 tuổi) vẫn sống côi cút trong căn nhà cũ kỹ chỉ khoảng chục mét vuông tại đội 1, thôn Bắc, xã Cổ Dũng, huyện Kim Thành (Hải Dương)",haiduong.tintuc.vn,Đời sống 
Một phụ nữ bịt mặt bắt cóc cháu bé 5 tuổi bị người dân tóm gọn,"Ngày 6.5, Công an thị xã Phước Long, tỉnh Bình Phước đã tạm giữ bà Lê Thị Xuyến (46 tuổi, ngụ phường Long Phước, thị xã Phước Long) để điều tra về việc bắt cóc trẻ em.
 Theo đó, khoảng 7h30 cùng ngày, thấy cháu V.T. Đ (5 tuổi, phường Long Phước) đang chơi trước sân nhà nên bà Xuyến bịt khăn che kín mặt, chạy xe máy đảo qua rồi dừng lại dụ dỗ cháu lên xe.",laodong.vn,An ninh 
Bi kịch ngoại tình với bố chồng,"Vậy là sau hơn 5 tháng lấy chồng, tôi đã thành “đàn bà” với đúng nghĩa. Tôi đã biết mùi “yêu” với đàn ông. Nhưng đó không phải là việc tôi quan hệ với chồng tôi.",sorry.vn,Đời sống 
"Đức từ chối cấp Visa cho đoàn công tác nhà nước, tạm ngừng cấp Visa cho du học sinh Việt Nam?"," Giao thương hai nước bắt đầu gặp ảnh hưởng từ căng thẳng ngoại giao Đức – Việt, sinh viên học sinh và doanh nghiệp đang gánh chịu hậu quả.",thoibao.de,Chính trị 
Đại sứ quán Đức tại Hà Nội từ chối cấp Visa cho lao động Việt Nam sang học nghề điều dưỡng," Quan hệ giữa Đức và Việt Nam vẫn tiếp tục căng thẳng khi tòa Thượng thẩm Berlin đang xét xử nghi phạm mật vụ Việt Nam Nguyễn Hải Long, các nhân chứng đã khai trước tòa, phát lộ đường dây bắt cóc ông TXT có liên quan đến những cán bộ cấp cao nhất của đảng như TBT Nguyễn Phú Trọng cũng như người đứng đầu cơ quan bảo vệ pháp luật, thượng tướng Tô Lâm.",thoibao.de,Chính trị 
Sự thật kinh hoàng về nước Mỹ qua lời kể của một du học sinh Trung Quốc," Dưới đây là câu chuyện về một du học sinh Trung Quốc sau khi sang Mỹ du học, sự thật về nước Mỹ làm cậu bàng hoàng..
 Tôi đã từng ôm giấc mộng được học tập ở đó, đã tìm mọi cách để tới được cái xứ sở siêu cường đó.",baonuocmy.com,Đời sống 
"Rùa biển sa lưới ‘vươn cổ cúi lạy’, ông chủ bèn mua rồi phóng sinh, 16 năm sau chú rùa quay lại trả ơn"," Tại Cơ Long, Đài Loan có một cửa hàng mang tên “Ngộ Duyên Hào”. Ông chủ Lâm vốn là một người tốt bụng, thường làm việc thiện, khu vực ông sống có nhiều những cư dân đánh cá kiếm sống quanh đó.",thoibao.today,Đời sống 
"Khám phá sửng sốt về trí nhớ ""như thần"" của động vật"," Trí nhớ siêu việt của động vật chắc chắn sẽ khiến không ít người kinh ngạc, ngoài trí nhớ ""như thần"", có loài động vật còn có khả năng suy nghĩ logic và thực sự có thể suy ra nếu a = b và b = c thì a = c.",thoibao.today,Đời sống 
"Những món ăn ""thần kỳ"" giúp sĩ tử ""thi đâu đậu đó"""," Ăn đậu để thi đâu đậu đó hay ăn bắp để bài làm được chắc như bắp... là những món mà mỗi khi kỳ thi đến là bạn có dịp thưởng thức.
 Các sĩ tử hiện đang trong giai đoạn vật lộn với kỳ thi cực kỳ quan trọng của đời mình chính là kỳ thi tốt nghiệp THPT .",thoibao.today,Đời sống 
Thần dược' mùa đông," Đây chính là ""thần dược"" mùa đông giúp chữa bách bệnh mà nhiều người đang thờ ơ!
  Su hào hay xu hào (từ tiếng Pháp: chou-rave, danh pháp hai phần: Brassica oleracea nhóm Gongylodes) là một giống cây trồng thân thấp và mập của cải bắp dại, được chọn lựa vì thân mập, gần như có dạng hình cầu, chứa nhiều nước của nó. Su hào được tạo ra từ quá trình chọn lọc nhân tạo để lấy phần tăng trưởng của mô phân sinh ở thân, mà trong đời thường được gọi là củ. Nguồn gốc tự nhiên của nó là cải bắp dại.",thoibao.today,Đời sống 
"Đứng bán nem chua rán, gái xinh khiến dân mạng tá hỏa vì “dụng cụ nguy hiểm” đặt ngay dưới vòng 1","Thanh niên đằng sau thấy rồi mà không ra cứu người ta đi mà đứng đó làm gì?
 Hóa ra “dụng cụ nguy hiểm” dưới vòng 1 căng đầy của hot girl ném chua rán chính là chiếc kéo nhọn, nếu không cẩn thận sẽ có thể gây thương tích.
 Thanh niên số nhọ nhất ngày hôm nay!",tinvn.info,Đời sống 
"Đi cả đêm mới về, bà mẹ tá hoả thấy mặt con bị cắt nát kinh dị và sự thật sốc tận não đằng sau"," Bà mẹ sửng sốt không ngờ, khi lấy tay chạm nhẹ vào vết thương trên mặt con gái là cảnh tượng này.
 Bỏ đi đằng đẵng một đêm, đến khi trở về bà mẹ tá hỏa khi thấy khuôn mặt con gái vô cùng khác lạ.
 Đến khi tận tay sờ vào, bà mẹ mới nhận ra thì ra đây là lớp trang điểm.",tinvn.info,Đời sống 
Khoe ảnh đẹp không tỳ vết nhưng Ngọc Trinh khiến người nhìn tá hỏa khi phát hiện ra phần ‘dị dạng’ này!," Không thể đếm được đây là lần thứ bao nhiêu Ngọc Trinh gặp sự cố dở khóc dở cười như thế này!
 Ai cũng biết Ngọc Trinh sở hữu các số đo và tỷ lệ thân hình chuẩn. Mỗi khi mặc sexy xuất hiện tại sự kiện thì các khách mời cũng phải lác mắt. Ấy vậy mà đẹp chừng đó vẫn chưa đủ đối với Nữ hoàng nội y, chính vì thế mà cô đã nhiều lần phải nhờ đến photoshop. Tuy nhiên vì quá lạm dụng mà thân hình cô còn bị biến dạng hẳn, nhiều lúc còn bị khuyết cả bộ phận. Mới đây, cô nàng đăng bức ảnh mặc váy đen đẹp miễn chê, gương mặt trong sáng như thiên thần. Tuy nhiên lúc nhìn xuống phía dưới thì ai cũng toá hoả vì Ngọc Trinh bị mất luôn 1 bên chân! Trước đó người đẹp này đã từng muối mặt vì vướng sự cố tương tự.
 Đây chính là bức ảnh có vấn đề của Ngọc Trinh. Một chiếc chân đã không cánh mà bay
",tinvn.info,Giải trí 
FastGo quyết khô máu với Grab!,"Trải nghiệm những giải đấu thể thao quốc tế trên VTVcab ON 0 0 Nếu muốn thưởng thức Ngoại hạng Anh, Bóng đá Đức, Tennis WTA, Glanslam, bóng rổ NBA, VBA, Golf, V.League cùng những giải đấu thể thao tầm cỡ quốc tế một cách...
 ",tinvn.info,Kinh tế
"Nhật Kim Anh tiết lộ ""thần dược"" giúp cô thoát khỏi lưỡi hái tử thần trên máy bay","Mới đây, trên trang cá nhân, nữ ca sĩ Nhật Kim Anh đã cập nhập dòng trạng thái chia sẻ về việc mình bị co rút và ngất xỉu ngay trên máy bay.
 Trước khi lên máy bay, Nhật Kim Anh đã cảm thấy người mệt mỏi vì cảm sốt. Tuy vậy, nữ ca sĩ chỉ nghĩ đó là cảm sốt bình thường. Đến khi máy bay bắt đầu lăn bánh, trải qua những cảm giác khó chịu như bao tử bị cào xé, cơ thể run rẩy, lạnh người.",tinvn.info,Giải trí 
"Mặc đồ bơi gợi cảm, Bảo Anh gây bất ngờ khi xăm chữ này lên đùi"," Hình xăm trên đùi gây tò mò bấy lâu nay đã được nữ ca sĩ bật mí.
 Sở hữu giọng hát đầy cảm xúc và nội lực, Bảo Anh còn được khán giả yêu mến bởi nhan sắc xinh đẹp, trong sáng, và cuộc sống đời tư “sạch” scandal. Bởi vậy, tất thảy ai cũng đều choáng khi hình ảnh nữ ca sĩ lộ hình xăm trên cơ thể.",tinvn.info,Giải trí 
Hàng ngàn người Hà Nội đứng hình khi chứng kiến bộ trang phục trần da thịt của em gái trẻ đẹp này," Tối qua Sài Gòn bỗng nhiên se lạnh các mẹ ạ, em đang nằm trong chăn ấm lướt web thì bỗng đập vào mắt là tấm hình chụp lại một cô gái ăn mặc siêu hở hang đang đứng đứng ngoài phố. Không nói chắc các mẹ cũng biết em rùng mình như thế nào, mình đang nằm trong chăn đây mà còn thấy lạnh, huống gì người ta ăn mặc phong phanh thế kia đứng giữ trời.",tinvn.info,Đời sống 
Cảm giác như trục quay trái đất sắp gãy khi xem loạt ảnh không thể không gào thét này," Bạn sẽ thấy bứt rứt, khó chịu, đau đớn thậm chí là tức nổ đom đóm mắt nếu một ngày rơi vào hoàn cảnh như vậy! Tôi khuyên bạn chân thành một câu, đừng để những thứ cối chày đó ảnh hưởng đến cảm xúc của mình, vì nó đang muốn mình già đi, xấu xí đi.
 ",tinvn.info,Giải trí 
Người đàn ông bị “ma dắt đi chơi” cho tới chết ở Quảng Nam?," 3h sáng, khi anh H. đang ngủ thì có một luồng sáng rọi vào mặt khiến anh tỉnh giấc. Vừa mở mắt ra, anh thấy ba người đàn ông mặc quần áo trắng toát đứng sẵn từ bao giờ.
 Họ không ngừng gọi tên anh. Trong “cơn mê”, anh H. mặc áo, đội mũ và đi theo họ…Đến chiều tối cùng ngày, anh mới trở về nhà. Tuy nhiên, không lâu sau đó thì anh tử vong.
 Ly kỳ lời kể của nạn nhân trước khi chết
",tinvn.info,Đời sống 
"Nhặt được chiếc hộp kì lạ trên biển, người đàn ông phải vào viện ngay lập tức khi biết danh tính thật của nó"," Không thể ngờ, chỉ chạm vào chiếc hộp người đàn ông lại phải chịu hậu quả như vậy.
 Một người đàn ông nước ngoài trong một lần đi dạo biển đã bắt gặp một chiếc hộp có hình dáng khá kì lạ. Cho đến khi đến gần hơn, ông ta mới phát hiện thì ra đó là một chú cá. Tuy nhiên vì chưa bao giờ thấy một chú cá có hình dáng như vậy nên ông quyết định tìm hiểu về nó.
 Hình dáng kì lạ thu hút người nhìn ngay lập tức ",tinvn.info,Đời sống 
Những dấu hiệu nhận biết nhà bạn đang có ma và cách trừ ma quỷ trong nhà," Dấu hiệu nhận biết nhà có ma. Các khung giờ 18 giờ chiều, 24 giờ đêm (0 giờ sáng) và 3 giờ sáng (quỷ môn quan) chính là 3 khung giờ mà vong hồn thường xuyên hoạt động mạnh mẽ nhất. Khi ấy, thường bầu không khí sẽ trở nên lạnh lẽo và ghê rợn vô cùng.
",tinvn.info,Đời sống 
Bí mật động trời mà không một nhân viên khách sạn nào dám nói cho bạn biết," Đảm bảo bạn sẽ shock khi biết những bí mật được giấu nhẹm đi này mỗi lần ghé chân tới khách sạn.
 Khách sạn, nhà nghỉ… là một phần không thể thiếu trong những chuyến di du lịch. Tuy nhiên, mỗi khách sạn đều ẩn chứa bí mật mà nếu nắm được “chìa khóa” này, bạn có thể tiết kiệm được kha khá tiền và tận hưởng trọn vẹn kỳ nghỉ của mình tại đó. Dưới đây là một số tổng hợp từ các khách sạn trên thế giới",tinvn.info,Đời sống 
Bí mật đằng sau chiếc nhẫn trên ngón tay út của Thanh Hằng và Chi Pu,"Hai mỹ nhân đình đám của Vbiz thường xuyên đeo nhẫn ở ngón tay út, và đây chính là lí do.
 Đối với phái đẹp nói chung và những mỹ nhân đình đám của Vbiz nói riêng, trang sức như nhẫn, hoa tai hay dây chuyền đều không thể thiếu trong mỗi lần xuất hiện.
 Khác với nhiều mỹ nhân, Thanh Hằng và Chi Pu thường gắn liền với chiếc nhẫn bạc nhỏ xinh ở ngón tay út. Ngoài việc tăng tính thẩm mỹ, thì chiếc nhẫn này còn có ý nghĩa rất đặc biệt đối với họ.",tinvn.info,Giải trí 
Bé Nhật Lan báo mộng cho người nhà về nghi phạm trước khi bị bắt," Như Báo Gia đình & Xã hội đã thông tin, sáng qua (14/4), phía cảnh sát nước Nhật Bản đã bắt giữ nghi phạm Shibuya Yasumasa (46 tuổi) liên quan đến cái chết thương tâm của cháu Lê Thị Nhật Linh (9 tuổi), trú tại thôn Bãi Sậy 3, xã Tân Dân, huyện Khoái Châu (Hưng Yên).
 Khi có thông từ nước sở tại, vợ chồng chị Nguyễn Thị Nguyên (SN 1986) cùng anh Lê Anh Hào (SN 1982) là bố mẹ bé Linh đã từ nhà ngoại tại thôn Trà My, xã Thuỵ Hương, huyện Kiến Thuỵ, TP. Hải Phòng về quê nội Hưng Yên để đón Đại sứ Nhật Bản tại Việt Nam đến thăm, chia buồn.
",tinvn.info,Đời sống 
"Ao làng bỗng lúc nhúc toàn sinh vật lạ, thò tay sờ vào mới tím mặt sợ hãi khi biết sự thật"," Thấy ao làng lúc nhúc toàn sinh vật lạ, người đàn ông tò mò tới gần và suýt ngất lịm trước cảnh tượng hãi hùng.
 Lâu lâu về thăm quê, người đàn ông cảm thấy vô cùng thích thú với cảnh tượng yên bình cùng không khí trong trẻo đặc trưng nơi đây. Đang thả bộ trên con đường làng, bất chợt ông thấy nhiều người xúm lại ở một cái ao, quá tò mò, ông quyết định rảo bước đến gần xem thử.",tinvn.info,Đời sống 
"Cậu bé kinh hãi khi thấy chân lúc nhúc hàng triệu sinh vật bấu chặt, cúi xuống phát hiện sự thật bàng hoàng"," Kinh ngạc cảnh tượng hàng triệu sinh vật bò nhung nhúc bấu chặt lấy chân.
 Christmas là một đảo nhỏ thuộc Úc, cách 2.600 km về Phía tây bắc thành phố Perth. Hòn đảo là quê hương của vô số các loài động – thực vật vô cùng phong phú và kỳ lạ. Nếu không chú ý, những du khách lần đầu tiên đến tham quan hòn đảo này thường gặp nhiều “phe” sởn gai ốc, khi ra vừa chỉ đứng im vài phút thôi, đã thấy dưới bàn chân mình rờn rợn, nhung nhúc vô cùng nhiều sinh vật kỳ lạ đang bò lên và bấu chặt lấy. Thậm chí, cả những con đường hay cả bờ biển nơi đây đều bị nhuộm một màu đỏ rực.
 Hàng trăm triệu con cua bò lên bấu chặt lấy chân cậu bé.
",tinvn.info,Đời sống 
Bác sĩ không đầu trước cửa phòng khám khiến cả bệnh viện náo loạn khi biết sự thật,"Hình ảnh người bác sĩ không đầu xuất hiện trong bệnh viện đã khiến các bệnh nhân hoảng loạn tránh xa.
 Mới đây, trên trang thông tin của Thái Lan đã chia sẻ hình ảnh người bác sĩ có ngoại hình kỳ lạ xuất hiện tại bệnh viện. Những hình ảnh của vị bác sĩ đã nhanh chóng được chia sẻ và nhận được sự quan tâm từ phía cộng đồng mạng toàn châu Á.",tinvn.info,Đời sống 
Sốc với những loại “bùa ngải” có thật dấu hiệu khi bị dính và đây là cách phòng tránh !,"
 Bùa ngải luôn là một phạm trù bí ẩn đối với con người. Trên thế giới, có rất nhiều lời đồn đại về bùa ngải, thậm chí có người từng chứng kiến tận mắt. Vậy làm sao để nhận biết khi bị dính bùa ngải và cách nào để phòng tránh?
 Trên thực tế, đã có một số công trình nghiên cứu khoa học chứng minh bùa ngải là có thật. Bùa ngải trước đây chủ yếu được dùng để thể hiện khát khao đạt được những điều tốt lành: bùa cầu bình an, ngải chữa bệnh…
 Tuy nhiên, cuộc sống quá nhiều bon chen, cám dỗ, ghen ghét, đố kỵ khiến ý nghĩa tốt đẹp ban đầu bị bóp méo, giờ đây nhắc tới bùa ngải, thứ hiện lên trong đầu mọi người chỉ là những thứ rất đáng sợ, những cơn đau dữ dội, tâm thần bấn loạn, mất trí,…
  ",tinvn.info,Đời sống 
"Nhặt được xác trăn ven đường, người đàn ông chết sững với thứ trong bụng trăn lâu năm"," Thấy xác trăn ven đường, người đàn ông không ngờ khi mổ bụng trăn lại nhìn thấy cảnh tượng hãi hùng này.
 Con trăn được phát hiện chết ven một con đường tại bang Florida,Mỹ với cái bụng khổng lồ nên người đàn ông đoán chắc nó đã nuốt chửng một thứ gì đó trước khi tử nạn.
 Con trăn này có chiều dài lên tới 5m và nặng gần 50kg. Đây là một con trăn mốc thuộc loài trăn lớn nhất thế giới. Loài trăn này thường sử dụng cơ bắp chắc khỏe để quấn chặt lấy con mồi, làm tắc mạch máu cho đến khi hệ thống tuần hoàn ngừng hoạt động để tiêu hóa con mồi.
 ",tinvn.info,Đời sống 
"Tưởng ổ trứng gà mang về ấp thành con, thanh niên ngay lập tức chuyển nhà chỉ sau 2 tuần"," Chỉ sau 2 tuần, ổ trứng lạ nở khiến chủ nhà tái xanh mặt khi biết “danh tính” của con vật.
 Một lần phiêu lưu ở ngoại ô, người đàn ông bất ngờ bắt gặp ổ trứng lạ. Quá tò mò và háo hức, ông quyết định mang về để theo dõi xem chuyện gì sẽ xảy ra.
 Sau vài tuần, ổ trứng bắt đầu nở. Người đàn ông thảng thốt không tin nổi vào mắt mình khi chứng kiến cảnh tượng hãi hùng trước mắt.",tinvn.info,Đời sống 
Cô gái “tự sướng” 101 lần liên tiếp trong suốt 12 giờ liền và cái kết gây sốc," Tin vừa nhận được từ bệnh viện. Một cô gái tên H sống tại quận Bình Thạnh TPHCM được đưa đi cấp cứu sáng ngày 29/10 đã tử vong vì cơ thể kiệt sức. Bác sĩ bệnh viện cho hay cô gái đã kiệt sức đến mức không thở nổi nên đã tử vong.
 Nguyên nhân được xác định là cô gái đã có hành động tự sướng liên tục cường độ cao từ 5h tối đến 5h sáng hôm sau. Bác sĩ ước đoán rằng cô đã thực hiện 101 lần tự sướng liên tục và lên đỉnh tới 51 lần. Rất nhiều tranh ảnh mát mẻ và phim người lớn cũng đã được tìm thấy tại khu nhà ở của cô.
 Tự sướng liên tục 101 lần trong 12 giờ liền là nguyên nhân khiến cô gái tử vong
",tinvn.info,Đời sống 
"Cặp đôi chụp 1000 kiểu ảnh chỉ một tư thế trong 3 năm, ai cũng sốc khi biết sự thật"," Đôi khi, tình yêu có thể được nhìn thấy từ những điều bình dị, dễ thương như thế này.
 Thế giới có 7 tỷ người đồng nghĩa với việc có hàng tỷ cặp đôi. Do đó, tình yêu cũng được thể hiện theo muôn vàn cách khác nhau, chẳng ai giống ai. Và cặp đôi người Hàn Quốc dưới đây đã chọn cách đặc biệt nhất để khiến tình yêu của riêng họ được nhiều người ca ngợi, ngưỡng mộ.",tinvn.info,Đời sống 
"Vác bừa hòn đá về kê bếp, người đàn ông sốc nặng khi được trả 400 triệu chỉ vì bí mật này bên trong"," Thật không thể tin được chỉ vì bí mật này mà hòn đá tưởng chừng như chả có gì lại được trả 400 triệu.
 Câu chuyện vô cùng lạ này diễn ra ở một ngôi làng có tên là Xiangjiaba. Đây là một ngôi làng nhỏ nằm ven sông Dương Tử xinh đẹp. Theo dọc bờ sông Dương Tử có rất nhiều loại đá với các kích cỡ và màu sắc lạ khác nhau.",tinvn.info,Đời sống 
"Vừa thấy “quái khủng” đen xì lòi ra từ khúc cây, thanh niên vứt vội gỗ quý chạy mất dép chỉ sau 1 giây"," Không biết đấy là quái vật gì mà lại khiến người đàn ông khiếp sợ đến như vậy?
 Câu chuyện đặc biệt này xảy ra khi một người đàn ông đang chặt cây lấy củi sau vườn nhà, vô tình ông trông thấy thân cây bị bục đen kỳ lạ. Quá tò mò, ông cúi người chạm vết đen xem nguyên nhân là gì, nhưng chưa được 3 giây, ông đã la hét thất thanh rồi bỏ chạy kêu cứu khi thấy quái vật đen ngòm quái dị chui ra từ phía trong.",tinvn.info,Đời sống 
